country;session;group;contribution;round;endowment;player;gender;age;lcp
SouthAfrica;1;4;20;6;30;13;Male;19;Conditional
SouthAfrica;1;4;30;6;30;14;Male;19;Contributor
SouthAfrica;1;2;25;6;30;15;Male;21;Conditional
SouthAfrica;1;1;20;6;30;16;Female;20;Contributor
SouthAfrica;1;4;7;7;10;1;Male;20;Contributor
SouthAfrica;1;3;10;7;10;2;Male;22;Contributor
SouthAfrica;1;2;7;7;10;3;Female;20;Others
SouthAfrica;1;2;10;7;10;4;Male;19;Conditional
SouthAfrica;1;4;8;7;10;5;Male;20;Contributor
SouthAfrica;1;3;10;7;10;6;Male;20;Contributor
SouthAfrica;1;2;26;7;30;7;Male;20;Conditional
SouthAfrica;1;1;10;7;10;8;Male;20;Contributor
SouthAfrica;1;1;9;7;10;9;Male;20;Contributor
SouthAfrica;1;3;16;7;30;10;Female;19;Conditional
SouthAfrica;1;3;15;7;30;11;Male;19;Contributor
SouthAfrica;1;1;22;7;30;12;Female;19;Conditional
SouthAfrica;1;4;15;7;30;13;Male;19;Conditional
SouthAfrica;1;4;30;7;30;14;Male;19;Contributor
SouthAfrica;1;2;28;7;30;15;Male;21;Conditional
SouthAfrica;1;1;26;7;30;16;Female;20;Contributor
SouthAfrica;1;4;7;8;10;1;Male;20;Contributor
SouthAfrica;1;3;10;8;10;2;Male;22;Contributor
SouthAfrica;1;2;6;8;10;3;Female;20;Others
SouthAfrica;1;2;10;8;10;4;Male;19;Conditional
SouthAfrica;1;4;8;8;10;5;Male;20;Contributor
SouthAfrica;1;3;10;8;10;6;Male;20;Contributor
SouthAfrica;1;2;25;8;30;7;Male;20;Conditional
SouthAfrica;1;1;9;8;10;8;Male;20;Contributor
SouthAfrica;1;1;8;8;10;9;Male;20;Contributor
SouthAfrica;1;3;15;8;30;10;Female;19;Conditional
SouthAfrica;1;3;20;8;30;11;Male;19;Contributor
SouthAfrica;1;1;20;8;30;12;Female;19;Conditional
SouthAfrica;1;4;15;8;30;13;Male;19;Conditional
SouthAfrica;1;4;30;8;30;14;Male;19;Contributor
SouthAfrica;1;2;28;8;30;15;Male;21;Conditional
SouthAfrica;1;1;28;8;30;16;Female;20;Contributor
SouthAfrica;1;4;7;9;10;1;Male;20;Contributor
SouthAfrica;1;3;0;9;10;2;Male;22;Contributor
SouthAfrica;1;2;5;9;10;3;Female;20;Others
SouthAfrica;1;2;10;9;10;4;Male;19;Conditional
SouthAfrica;1;4;8;9;10;5;Male;20;Contributor
SouthAfrica;1;3;10;9;10;6;Male;20;Contributor
SouthAfrica;1;2;28;9;30;7;Male;20;Conditional
SouthAfrica;1;1;9;9;10;8;Male;20;Contributor
SouthAfrica;1;1;9;9;10;9;Male;20;Contributor
SouthAfrica;1;3;16;9;30;10;Female;19;Conditional
SouthAfrica;1;3;20;9;30;11;Male;19;Contributor
SouthAfrica;1;1;15;9;30;12;Female;19;Conditional
SouthAfrica;1;4;20;9;30;13;Male;19;Conditional
SouthAfrica;1;4;30;9;30;14;Male;19;Contributor
SouthAfrica;1;2;27;9;30;15;Male;21;Conditional
SouthAfrica;1;1;10;9;30;16;Female;20;Contributor
SouthAfrica;1;4;7;10;10;1;Male;20;Contributor
SouthAfrica;1;3;5;10;10;2;Male;22;Contributor
SouthAfrica;1;2;7;10;10;3;Female;20;Others
SouthAfrica;1;2;10;10;10;4;Male;19;Conditional
SouthAfrica;1;4;8;10;10;5;Male;20;Contributor
SouthAfrica;1;3;10;10;10;6;Male;20;Contributor
SouthAfrica;1;2;28;10;30;7;Male;20;Conditional
SouthAfrica;1;1;10;10;10;8;Male;20;Contributor
SouthAfrica;1;1;9;10;10;9;Male;20;Contributor
SouthAfrica;1;3;16;10;30;10;Female;19;Conditional
SouthAfrica;1;3;20;10;30;11;Male;19;Contributor
SouthAfrica;1;1;10;10;30;12;Female;19;Conditional
SouthAfrica;1;4;15;10;30;13;Male;19;Conditional
SouthAfrica;1;4;30;10;30;14;Male;19;Contributor
SouthAfrica;1;2;27;10;30;15;Male;21;Conditional
SouthAfrica;1;1;24;10;30;16;Female;20;Contributor
SouthAfrica;1;4;7;11;10;1;Male;20;Contributor
SouthAfrica;1;3;10;11;10;2;Male;22;Contributor
SouthAfrica;1;2;5;11;10;3;Female;20;Others
SouthAfrica;1;2;10;11;10;4;Male;19;Conditional
SouthAfrica;1;4;9;11;10;5;Male;20;Contributor
SouthAfrica;1;3;10;11;10;6;Male;20;Contributor
SouthAfrica;1;2;25;11;30;7;Male;20;Conditional
SouthAfrica;1;1;9;11;10;8;Male;20;Contributor
SouthAfrica;1;1;8;11;10;9;Male;20;Contributor
SouthAfrica;1;3;16;11;30;10;Female;19;Conditional
SouthAfrica;1;3;25;11;30;11;Male;19;Contributor
SouthAfrica;1;1;17;11;30;12;Female;19;Conditional
SouthAfrica;1;4;18;11;30;13;Male;19;Conditional
SouthAfrica;1;4;30;11;30;14;Male;19;Contributor
SouthAfrica;1;2;28;11;30;15;Male;21;Conditional
SouthAfrica;1;1;27;11;30;16;Female;20;Contributor
SouthAfrica;1;4;7;12;10;1;Male;20;Contributor
SouthAfrica;1;3;10;12;10;2;Male;22;Contributor
SouthAfrica;1;2;6;12;10;3;Female;20;Others
SouthAfrica;1;2;10;12;10;4;Male;19;Conditional
SouthAfrica;1;4;10;12;10;5;Male;20;Contributor
SouthAfrica;1;3;10;12;10;6;Male;20;Contributor
SouthAfrica;1;2;28;12;30;7;Male;20;Conditional
SouthAfrica;1;1;9;12;10;8;Male;20;Contributor
SouthAfrica;1;1;9;12;10;9;Male;20;Contributor
SouthAfrica;1;3;16;12;30;10;Female;19;Conditional
SouthAfrica;1;3;25;12;30;11;Male;19;Contributor
SouthAfrica;1;1;20;12;30;12;Female;19;Conditional
SouthAfrica;1;4;15;12;30;13;Male;19;Conditional
SouthAfrica;1;4;30;12;30;14;Male;19;Contributor
SouthAfrica;1;2;25;12;30;15;Male;21;Conditional
SouthAfrica;1;1;30;12;30;16;Female;20;Contributor
SouthAfrica;1;4;7;13;10;1;Male;20;Contributor
SouthAfrica;1;3;10;13;10;2;Male;22;Contributor
SouthAfrica;1;2;6;13;10;3;Female;20;Others
SouthAfrica;1;2;10;13;10;4;Male;19;Conditional
SouthAfrica;1;4;9;13;10;5;Male;20;Contributor
SouthAfrica;1;3;10;13;10;6;Male;20;Contributor
SouthAfrica;1;2;25;13;30;7;Male;20;Conditional
SouthAfrica;1;1;9;13;10;8;Male;20;Contributor
SouthAfrica;1;1;9;13;10;9;Male;20;Contributor
SouthAfrica;1;3;20;13;30;10;Female;19;Conditional
SouthAfrica;1;3;25;13;30;11;Male;19;Contributor
SouthAfrica;1;1;10;13;30;12;Female;19;Conditional
SouthAfrica;1;4;18;13;30;13;Male;19;Conditional
SouthAfrica;1;4;30;13;30;14;Male;19;Contributor
SouthAfrica;1;2;26;13;30;15;Male;21;Conditional
SouthAfrica;1;1;28;13;30;16;Female;20;Contributor
SouthAfrica;1;4;7;14;10;1;Male;20;Contributor
SouthAfrica;1;3;9;14;10;2;Male;22;Contributor
SouthAfrica;1;2;6;14;10;3;Female;20;Others
SouthAfrica;1;2;9;14;10;4;Male;19;Conditional
SouthAfrica;1;4;8;14;10;5;Male;20;Contributor
SouthAfrica;1;3;10;14;10;6;Male;20;Contributor
SouthAfrica;1;2;25;14;30;7;Male;20;Conditional
SouthAfrica;1;1;10;14;10;8;Male;20;Contributor
SouthAfrica;1;1;9;14;10;9;Male;20;Contributor
SouthAfrica;1;3;16;14;30;10;Female;19;Conditional
SouthAfrica;1;3;24;14;30;11;Male;19;Contributor
SouthAfrica;1;1;13;14;30;12;Female;19;Conditional
SouthAfrica;1;4;20;14;30;13;Male;19;Conditional
SouthAfrica;1;4;30;14;30;14;Male;19;Contributor
SouthAfrica;1;2;26;14;30;15;Male;21;Conditional
SouthAfrica;1;1;26;14;30;16;Female;20;Contributor
SouthAfrica;1;4;10;15;10;1;Male;20;Contributor
SouthAfrica;1;3;10;15;10;2;Male;22;Contributor
SouthAfrica;1;2;5;15;10;3;Female;20;Others
SouthAfrica;1;2;10;15;10;4;Male;19;Conditional
SouthAfrica;1;4;8;15;10;5;Male;20;Contributor
SouthAfrica;1;3;10;15;10;6;Male;20;Contributor
SouthAfrica;1;2;25;15;30;7;Male;20;Conditional
SouthAfrica;1;1;8;15;10;8;Male;20;Contributor
SouthAfrica;1;1;9;15;10;9;Male;20;Contributor
SouthAfrica;1;3;20;15;30;10;Female;19;Conditional
SouthAfrica;1;3;24;15;30;11;Male;19;Contributor
SouthAfrica;1;1;15;15;30;12;Female;19;Conditional
SouthAfrica;1;4;17;15;30;13;Male;19;Conditional
SouthAfrica;1;4;30;15;30;14;Male;19;Contributor
SouthAfrica;1;2;26;15;30;15;Male;21;Conditional
SouthAfrica;1;1;28;15;30;16;Female;20;Contributor
SouthAfrica;1;4;10;16;10;1;Male;20;Contributor
SouthAfrica;1;3;10;16;10;2;Male;22;Contributor
SouthAfrica;1;2;5;16;10;3;Female;20;Others
SouthAfrica;1;2;10;16;10;4;Male;19;Conditional
SouthAfrica;1;4;8;16;10;5;Male;20;Contributor
SouthAfrica;1;3;10;16;10;6;Male;20;Contributor
SouthAfrica;1;2;28;16;30;7;Male;20;Conditional
SouthAfrica;1;1;9;16;10;8;Male;20;Contributor
SouthAfrica;1;1;9;16;10;9;Male;20;Contributor
SouthAfrica;1;3;20;16;30;10;Female;19;Conditional
SouthAfrica;1;3;23;16;30;11;Male;19;Contributor
SouthAfrica;1;1;19;16;30;12;Female;19;Conditional
SouthAfrica;1;4;10;16;30;13;Male;19;Conditional
SouthAfrica;1;4;30;16;30;14;Male;19;Contributor
SouthAfrica;1;2;26;16;30;15;Male;21;Conditional
SouthAfrica;1;1;30;16;30;16;Female;20;Contributor
SouthAfrica;1;4;10;17;10;1;Male;20;Contributor
SouthAfrica;1;3;10;17;10;2;Male;22;Contributor
SouthAfrica;1;2;5;17;10;3;Female;20;Others
SouthAfrica;1;2;10;17;10;4;Male;19;Conditional
SouthAfrica;1;4;9;17;10;5;Male;20;Contributor
SouthAfrica;1;3;10;17;10;6;Male;20;Contributor
SouthAfrica;1;2;26;17;30;7;Male;20;Conditional
SouthAfrica;1;1;8;17;10;8;Male;20;Contributor
SouthAfrica;1;1;8;17;10;9;Male;20;Contributor
SouthAfrica;1;3;21;17;30;10;Female;19;Conditional
SouthAfrica;1;3;22;17;30;11;Male;19;Contributor
SouthAfrica;1;1;15;17;30;12;Female;19;Conditional
SouthAfrica;1;4;15;17;30;13;Male;19;Conditional
SouthAfrica;1;4;1;17;30;14;Male;19;Contributor
SouthAfrica;1;2;26;17;30;15;Male;21;Conditional
SouthAfrica;1;1;24;17;30;16;Female;20;Contributor
SouthAfrica;1;4;5;18;10;1;Male;20;Contributor
SouthAfrica;1;3;6;18;10;2;Male;22;Contributor
